"D_or_L","Origin_Warehouse","Destination","Carrier","ShipWeekday","Shipment_Date","Delivery_Date","Transit_Days","Distance_miles","Weight_kg","Cost"
"0","Warehouse_MIA","San Francisco","UPS","Monday",2023-10-02,2023-10-04,2,291,25.7,67.46
"0","Warehouse_MIA","Atlanta","DHL","Wednesday",2023-12-06,2023-12-09,3,1225,38.9,268.85
"0","Warehouse_LA","Houston","DHL","Monday",2023-09-18,2023-09-20,2,220,37.2,74.35
"0","Warehouse_BOS","Seattle","OnTrac","Thursday",2023-01-26,2023-02-04,9,1156,42.6,187.04
"0","Warehouse_SF","Dallas","OnTrac","Saturday",2023-06-03,2023-06-06,3,1017,7.9,120.01
"0","Warehouse_ATL","New York","FedEx","Wednesday",2023-09-13,2023-09-16,3,898,9.1,143.26
"0","Warehouse_BOS","Houston","UPS","Thursday",2023-10-19,2023-10-23,4,1522,0.4,225.23
"0","Warehouse_CHI","Portland","Amazon Logistics","Monday",2023-02-27,2023-03-08,9,2013,16.7,281.23
"0","Warehouse_HOU","Detroit","Amazon Logistics","Friday",2023-11-24,2023-12-01,7,2072,15.1,341.93
"0","Warehouse_SF","Detroit","LaserShip","Thursday",2023-01-19,2023-01-21,2,214,27.7,55.24
"0","Warehouse_MIA","Chicago","FedEx","Thursday",2023-02-02,2023-02-07,5,1736,7.1,251.53
"1","Warehouse_ATL","Boston","Amazon Logistics","Sunday",2023-05-28,2023-06-04,7,2366,38.2,357.12
"0","Warehouse_SEA","New York","FedEx","Tuesday",2023-08-08,2023-08-13,5,650,34.4,121.14
"0","Warehouse_NYC","Phoenix","UPS","Thursday",2023-12-28,2024-01-03,6,1574,20.7,272.48
"0","Warehouse_BOS","Miami","FedEx","Monday",2023-07-24,2023-07-30,6,1849,12.5,266.08
"0","Warehouse_DEN","Minneapolis","OnTrac","Wednesday",2023-05-10,2023-05-16,6,1489,28.6,221.21
"1","Warehouse_CHI","Detroit","USPS","Wednesday",2023-01-25,2023-01-26,1,283,24.1,60.27
"0","Warehouse_ATL","Atlanta","OnTrac","Monday",2023-10-16,2023-10-25,9,1055,6.3,124.52
"0","Warehouse_MIA","Portland","DHL","Monday",2023-01-16,2023-01-21,5,1660,51.2,290.72
"0","Warehouse_MIA","Miami","FedEx","Tuesday",2023-07-11,2023-08-10,30,1696,7.8,216.42
"0","Warehouse_SEA","Houston","LaserShip","Wednesday",2023-08-23,2023-08-27,4,1407,29.6,216.63
"0","Warehouse_CHI","San Francisco","USPS","Friday",2023-07-21,2023-07-23,2,440,15.2,67.11
"0","Warehouse_SEA","Los Angeles","DHL","Thursday",2023-10-26,2023-10-29,3,1402,22.2,228.57
"0","Warehouse_DEN","Phoenix","USPS","Friday",2023-08-11,2023-08-15,4,256,5.3,37.32
"0","Warehouse_NYC","Portland","UPS","Thursday",2023-04-27,2023-04-29,2,519,40,124.29
"0","Warehouse_DEN","Miami","UPS","Saturday",2023-12-30,2024-01-01,2,386,8.7,73.52
"1","Warehouse_DEN","Boston","USPS","Saturday",2023-12-30,2024-01-05,6,1986,10.1,309.59
"0","Warehouse_SF","Dallas","LaserShip","Friday",2023-12-15,2023-12-20,5,2229,22.8,373.64
"0","Warehouse_SEA","Chicago","DHL","Tuesday",2023-06-27,2023-07-03,6,2310,13,347.94
"0","Warehouse_SF","San Francisco","LaserShip","Saturday",2023-11-04,2023-11-08,4,502,28.5,109.33
